173268,175430,175982,176215,Lower Connecticut River Valley Planning Region,Connecticut
449285,452281,453590,456128,Naugatuck Valley Planning Region,Connecticut
95222,95605,96148,96692,Northeastern Connecticut Planning Region,Connecticut
112202,112953,113277,113463,Northwest Hills Planning Region,Connecticut
564076,568450,568402,568158,South Central Connecticut Planning Region,Connecticut
278342,278820,279257,279634,Southeastern Connecticut Planning Region,Connecticut
618368,623258,622857,623907,Western Connecticut Planning Region,Connecticut
182315,185043,187758,189789,Kent,Delaware
570918,572029,575254,578592,New Castle,Delaware
238629,247809,256447,263509,Sussex,Delaware
670839,669037,670949,678972,District of Columbia,District of Columbia
279737,281889,284041,285994,Alachua,Florida
28116,28669,27786,28368,Baker,Florida
174525,179520,185210,190769,Bay,Florida
28222,28050,27296,27858,Bradford,Florida
608775,617900,630707,643979,Brevard,Florida
1943398,1935575,1946889,1962531,Broward,Florida
13707,13518,13465,13470,Calhoun,Florida
187995,194934,202582,206134,Charlotte,Florida
154568,158167,162508,166696,Citrus,Florida
218951,222648,226634,232439,Clay,Florida
377310,387226,397516,404310,Collier,Florida
69740,69932,71870,73063,Columbia,Florida
34086,34333,35320,35979,DeSoto,Florida
16687,16933,17120,17465,Dixie,Florida
997784,1002774,1017011,1030822,Duval,Florida
322568,323459,323860,326928,Escambia,Florida
116028,120974,126758,131439,Flagler,Florida
12468,12183,12492,12594,Franklin,Florida
43411,43599,43393,43833,Gadsden,Florida
17882,18316,19002,19587,Gilchrist,Florida
12078,12266,12463,12786,Glades,Florida
14259,14462,15299,15693,Gulf,Florida
13729,13072,13194,13471,Hamilton,Florida
25339,25322,25651,25760,Hardee,Florida
39723,40215,41391,43333,Hendry,Florida
195624,200693,206935,212807,Hernando,Florida
101349,103279,105649,107614,Highlands,Florida
1466255,1484607,1513473,1535564,Hillsborough,Florida
19578,19309,19653,19944,Holmes,Florida
160446,163869,167267,169795,Indian River,Florida
47096,47119,48255,48622,Jackson,Florida
14399,14494,15069,15450,Jefferson,Florida
8218,7952,7777,8078,Lafayette,Florida
